"Date","Open","High","Low","Close*","Adj Close**","Volume"
"Dec 27, 2019","3,247.23","3,247.93","3,234.37","3,240.02","3,240.02","2,428,670,000"
"Dec 26, 2019","3,227.20","3,240.08","3,227.20","3,239.91","3,239.91","2,160,680,000"
"Dec 24, 2019","3,225.45","3,226.43","3,220.51","3,223.38","3,223.38","1,296,540,000"
"Dec 23, 2019","3,226.05","3,227.78","3,222.30","3,224.01","3,224.01","3,060,610,000"
"Dec 20, 2019","3,223.33","3,225.65","3,216.03","3,221.22","3,221.22","6,454,270,000"
"Dec 19, 2019","3,192.32","3,205.48","3,192.32","3,205.37","3,205.37","3,720,450,000"
"Dec 18, 2019","3,195.21","3,198.48","3,191.14","3,191.14","3,191.14","4,014,080,000"
"Dec 17, 2019","3,195.40","3,198.22","3,191.03","3,192.52","3,192.52","3,837,540,000"
"Dec 16, 2019","3,183.63","3,197.71","3,183.63","3,191.45","3,191.45","4,051,790,000"
"Dec 13, 2019","3,166.65","3,182.68","3,156.51","3,168.80","3,168.80","3,736,870,000"
"Dec 12, 2019","3,141.23","3,176.28","3,138.47","3,168.57","3,168.57","3,990,690,000"
"Dec 11, 2019","3,135.75","3,143.98","3,133.21","3,141.63","3,141.63","3,252,540,000"
"Dec 10, 2019","3,135.36","3,142.12","3,126.09","3,132.52","3,132.52","3,343,790,000"
"Dec 09, 2019","3,141.86","3,148.87","3,135.46","3,135.96","3,135.96","3,345,990,000"
"Dec 06, 2019","3,134.62","3,150.60","3,134.62","3,145.91","3,145.91","3,479,480,000"
"Dec 05, 2019","3,119.21","3,119.45","3,103.76","3,117.43","3,117.43","3,355,750,000"
"Dec 04, 2019","3,103.50","3,119.38","3,102.53","3,112.76","3,112.76","3,695,030,000"
"Dec 03, 2019","3,087.41","3,094.97","3,070.33","3,093.20","3,093.20","3,653,390,000"
"Dec 02, 2019","3,143.85","3,144.31","3,110.78","3,113.87","3,113.87","3,268,740,000"
"Nov 29, 2019","3,147.18","3,150.30","3,139.34","3,140.98","3,140.98","1,743,020,000"
"Nov 27, 2019","3,145.49","3,154.26","3,143.41","3,153.63","3,153.63","3,033,090,000"
"Nov 26, 2019","3,134.85","3,142.69","3,131.00","3,140.52","3,140.52","4,595,590,000"
"Nov 25, 2019","3,117.44","3,133.83","3,117.44","3,133.64","3,133.64","3,511,530,000"
"Nov 22, 2019","3,111.41","3,112.87","3,099.26","3,110.29","3,110.29","3,226,780,000"
"Nov 21, 2019","3,108.49","3,110.11","3,094.55","3,103.54","3,103.54","3,720,560,000"
"Nov 20, 2019","3,114.66","3,118.97","3,091.41","3,108.46","3,108.46","4,034,890,000"
"Nov 19, 2019","3,127.45","3,127.64","3,113.47","3,120.18","3,120.18","3,590,070,000"
"Nov 18, 2019","3,117.91","3,124.17","3,112.06","3,122.03","3,122.03","3,436,690,000"
"Nov 15, 2019","3,107.92","3,120.46","3,104.60","3,120.46","3,120.46","3,335,650,000"
"Nov 14, 2019","3,090.75","3,098.20","3,083.26","3,096.63","3,096.63","3,276,070,000"
"Nov 13, 2019","3,084.18","3,098.06","3,078.80","3,094.04","3,094.04","3,509,280,000"
"Nov 12, 2019","3,089.28","3,102.61","3,084.73","3,091.84","3,091.84","3,466,010,000"
"Nov 11, 2019","3,080.33","3,088.33","3,075.82","3,087.01","3,087.01","3,035,530,000"
"Nov 08, 2019","3,081.25","3,093.09","3,073.58","3,093.08","3,093.08","3,499,150,000"
"Nov 07, 2019","3,087.02","3,097.77","3,080.23","3,085.18","3,085.18","4,144,640,000"
"Nov 06, 2019","3,075.10","3,078.34","3,065.89","3,076.78","3,076.78","4,458,190,000"
"Nov 05, 2019","3,080.80","3,083.95","3,072.15","3,074.62","3,074.62","4,486,130,000"
"Nov 04, 2019","3,078.96","3,085.20","3,074.87","3,078.27","3,078.27","4,146,850,000"
"Nov 01, 2019","3,050.72","3,066.95","3,050.72","3,066.91","3,066.91","3,930,200,000"
"Oct 31, 2019","3,046.90","3,046.90","3,023.19","3,037.56","3,037.56","4,139,280,000"
"Oct 30, 2019","3,039.74","3,050.10","3,025.96","3,046.77","3,046.77","3,776,030,000"
"Oct 29, 2019","3,035.39","3,047.87","3,034.81","3,036.89","3,036.89","3,589,930,000"
"Oct 28, 2019","3,032.12","3,044.08","3,032.12","3,039.42","3,039.42","3,521,230,000"
"Oct 25, 2019","3,003.32","3,027.39","3,001.94","3,022.55","3,022.55","3,370,370,000"
